ForbidID,ForbidNo,PlantCode,BU,Customer,ForbidDate
726F9994-3699-4364-8509-0001A4253A08,PSG-Forbid-GER-1384,CP60,BU1,BU1-HP,2017/9/24
EBAE511C-F336-4E87-BF14-0019E503D6E9,PSG-Forbid-GER-0978,CP80,MEDION,MEDION,2015/11/16
DAFAF269-FB63-4085-AE42-002E24681E29,PSG-Forbid-F-C440TOU-0003,CP11,AIOL,AIO/Lenovo,2014/2/24
55B7D32E-6AAE-4097-8E73-0047DED7568E,PSG-Forbid-F-QUEST2-0002,CP81,BU1,BU1-HP,2014/9/10
207DA371-5051-4DAB-9EA5-007FF11C0E23,PSG-Forbid-GER-2543,CP60,BU1,BU1-HP,2023/11/22
A72DF182-88C7-4317-AE2C-00A70A6BBFC3,PSG-Forbid-GER-2021,CP60,BU1,BU1-HP,2020/9/22
40AF876E-C446-4115-AC8F-00E1EE0DB23D,PSG-Forbid-F-CA203-0001,CP11,AIO-AOC,AIO-AOC,2014/3/17
9299EFE3-A53B-4F8A-B303-00EDA87119A5,PSG-Forbid-GER-2504,CP60,BU1,BU1-HP,2023/8/16
F9DC06EB-25C5-4366-9463-011012BF8AC9,PSG-Forbid-F-THRONE-0009,CP65,BU2-TINY,BD3B-TINY,2018/10/6
5694A9EE-B423-4334-8D0E-011F72C208CA,PSG-Forbid-F-EGEUS-0002,CP83,DELL,BD3A-DELL,2015/8/21
213C29AD-CBB5-4986-AC99-01222631EEF0,PSG-Forbid-GER-1772,CP60,BU1,BU1-HP,2019/7/22
C4EAE5EE-CBC3-4E7E-92CD-017021FD94AF,PSG-Forbid-F-AMANTIS-0002,CP62,BU6B,BU2-FJ and Onkyo,2018/9/21
F018EF9B-E260-492A-AEBD-01AF7847192F,PSG-Forbid-GER-1329,CP60,BU1,BU1-HP,2017/7/19
CEFFFD58-8910-49BF-84E4-01B85809EFF7,PSG-Forbid-GER-0421,CP60,BU1,BU1-HP,2014/7/21
65723B58-38FC-49F7-A250-01E0BE2B542C,PSG-Forbid-F-ALISHAN-0004,CP60,BU1,BU1-HP,2024/1/6
BAA9714F-662E-4C97-B33C-01F3AD6BED59,PSG-Forbid-GER-0327,CP60,BU1,BU1-HP,2014/6/7
33449F81-0C2A-487E-96B0-020F24D798A6,PSG-Forbid-F-BANDIT2-0004,CP81,BU1,BU1-HP,2014/7/15
33C6248B-DB52-40F3-AA83-0216D337359D,PSG-Forbid-T-DB10S-0001,CP07,BU2,BD2D TSB,2014/2/26
48D6102B-F98E-487A-A569-023AE59C382F,PSG-Forbid-GER-0317,CP60,BU1,BU1-HP,2014/6/7
38A4D902-2D53-44FF-B9B2-029C8CCD1E86,PSG-Forbid-F-CANNO20-0001,CP60,BU1,BU1-HP,2024/1/6
BD388262-1B1D-4385-B134-02E15FE938D1,PSG-Forbid-F-BANDIT-0006,CP81,BU1,BU1-HP,2014/7/8
54ECDF83-D432-40AB-9D3C-02EB1C885C9B,PSG-Forbid-F-OLYMPIA-0015,CP60,BU1,BU1-HP,2015/8/20
93BF8127-6E81-4161-875E-031274413437,PSG-Forbid-GER-0004,CP60,BU1,BU1-HP,2014/2/18
184DFF16-303A-41E1-BBA5-031BD410E440,PSG-Forbid-F-OLYMPIA-0012,CP60,BU1,BU1-HP,2015/8/20
8D65504E-A867-4CDF-9E86-03244DFCF412,PSG-Forbid-GER-1025,CP11,ASUS,AIO-ASUS,2016/1/4
E2F86D40-2503-4B75-AB0A-0326684F6572,PSG-Forbid-GER-2421,CP60,BU1,BU1-HP,2023/3/30
E6BE5A35-A8AB-4A69-AD97-03738EFBF6A7,PSG-Forbid-GER-1243,CP60,BU1,BU1-HP,2017/3/28
E6BE5A35-A8AB-4A69-AD97-03738EFBF6A7,PSG-Forbid-GER-1243,CP60,BU1,BU1-HP,2017/3/28
E6BE5A35-A8AB-4A69-AD97-03738EFBF6A7,PSG-Forbid-GER-1243,CP60,BU1,BU1-HP,2017/3/28
E6BE5A35-A8AB-4A69-AD97-03738EFBF6A7,PSG-Forbid-GER-1243,CP60,BU1,BU1-HP,2017/3/28
E6BE5A35-A8AB-4A69-AD97-03738EFBF6A7,PSG-Forbid-GER-1243,CP60,BU1,BU1-HP,2017/3/28
9812BEF1-DCF1-49C3-947E-039398A27D4A,PSG-Forbid-GER-1529,CP60,BU1,BU1-HP,2018/6/6
C02ACC56-F873-4632-9FD0-03B81A698C76,PSG-Forbid-GER-0766,CP60,BU1,BU1-HP,2015/3/20
678EF78C-D769-48DF-9080-043E647B88EC,PSG-Forbid-F-Z380-0011,CP85,BU2-ASUS,BD2C-ASUS,2015/7/30
